"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"125","","Mike Williams","LAC","WR49","8","72","213","131.5","33.8","125.0","0.0"
"126","","Adrian Peterson","WAS","RB45","4","59","299","137.4","58.2","118.0","-8.0"
"127","","Allen Hurns","DAL","WR50","8","84","213","127.5","31.5","117.0","-10.0"
"128","","Tyler Eifert","CIN","TE15","9","84","200","134.2","23.7","134.0","+6.0"
"129","","Rishard Matthews","TEN","WR51","8","82","252","132.2","33.5","166.0","+37.0"
"130","","Jacksonville (JAC)","","DST1","9","87","166","133.6","14.0","108.0","-22.0"
"131","","Ty Montgomery","GB","RB46","7","92","204","132.3","26.5","127.0","-4.0"
"132","","D.J. Moore","CAR","WR52","4","73","204","134.6","29.7","128.0","-4.0"
"133","","Keelan Cole","JAC","WR53","9","57","242","135.5","43.0","132.0","-1.0"
"134","","Giovani Bernard","CIN","RB47","9","93","216","133.2","23.4","138.0","+4.0"
"135","","Dak Prescott","DAL","QB19","8","97","179","133.5","17.4","141.0","+6.0"
"136","","Aaron Jones","GB ","RB48","7","39","244","135.7","36.7","111.0","-25.0"
"137","","Eric Ebron","IND","TE16","9","85","189","141.4","23.8","183.0","+46.0"
"138","","Charles Clay","BUF","TE17","11","96","207","140.3","21.4","188.0","+50.0"
"139","","Minnesota (MIN)","","DST2","10","88","170","140.2","15.0","122.0","-17.0"
"140","","Devontae Booker","DEN","RB49","10","88","281","139.5","35.9","151.0","+11.0"
"141","","Josh Doctson","WAS","WR54","4","84","227","141.4","31.9","147.0","+6.0"
"142","","Chris Godwin","TB","WR55","5","82","212","141.3","32.7","162.0","+20.0"
"143","","Derek Carr","OAK","QB20","7","104","235","144.2","22.7","137.0","-6.0"
"144","","Anthony Miller","CHI","WR56","5","78","211","142.0","30.2","156.0","+12.0"
"145","","Philadelphia (PHI)","","DST3","9","91","181","148.3","15.0","123.0","-22.0"
"146","","Los Angeles (LAR)","","DST4","12","90","192","148.7","19.5","119.0","-27.0"
"147","","Cameron Brate","TB","TE18","5","82","265","152.5","29.8","178.0","+31.0"
"148","","Nick Chubb","CLE","RB50","11","96","250","145.0","30.7","120.0","-28.0"
"149","","Theo Riddick","DET","RB51","6","91","205","147.4","23.2","153.0","+4.0"
"150","","Michael Gallup","DAL","WR57","8","87","219","149.2","28.0","144.0","-6.0"
"151","","Blake Bortles","JAC","QB21","9","113","216","148.2","21.3","202.0","+51.0"
"152","","Corey Clement","PHI","RB52","9","100","220","149.1","29.0","146.0","-6.0"
"153","","Eli Manning","NYG","QB22","9","113","191","150.3","19.4","160.0","+7.0"
"154","","Jared Cook","OAK","TE19","7","97","235","154.5","25.6","177.0","+23.0"
"155","","John Brown","BAL","WR58","10","83","249","154.9","40.3","157.0","+2.0"
"156","","Los Angeles (LAC)","","DST5","8","93","202","154.9","19.2","145.0","-11.0"
"157","","Latavius Murray","MIN","RB53","10","100","237","153.2","25.7","139.0","-18.0"
"158","","Calvin Ridley","ATL","WR59","8","85","205","149.6","28.8","126.0","-32.0"
"159","","Dede Westbrook","JAC","WR60","9","70","229","153.0","32.7","171.0","+12.0"
"160","","Cameron Meredith","NO","WR61","6","87","219","150.3","33.1","149.0","-11.0"
"161","","Houston (HOU)","","DST6","10","94","210","158.5","19.6","150.0","-11.0"
"162","","Ricky Seals-Jones","ARI","TE20","9","86","235","160.3","29.5","205.0","+43.0"
"163","","Austin Seferian-Jenkins","JAC","TE21","9","101","246","161.2","31.1","167.0","+4.0"
"164","","Jordan Wilkins","IND","RB54","9","98","235","156.4","35.8","161.0","-3.0"
"165","","Mitch Trubisky","CHI","QB23","5","102","237","157.9","23.0","165.0","0.0"
"166","","DeSean Jackson","TB","WR62","5","85","244","157.8","34.7","172.0","+6.0"
"167","","Benjamin Watson","NO","TE22","6","89","248","162.7","34.2","189.0","+22.0"
"168","","Tyrell Williams","LAC","WR63","8","103","242","159.5","34.6","207.0","+39.0"
"169","","Denver (DEN)","","DST7","10","95","223","163.6","21.2","155.0","-14.0"
"170","","John Ross","CIN","WR64","9","86","235","160.5","34.4","169.0","-1.0"
"171","","Andy Dalton","CIN","QB24","9","114","265","167.0","35.4","206.0","+35.0"
"172","","Case Keenum","DEN","QB25","10","116","207","160.6","20.6","201.0","+29.0"
"173","","Stephen Gostkowski","NE","K1","11","98","204","166.7","20.1","135.0","-38.0"
"174","","Baltimore (BAL)","","DST8","10","99","217","167.8","21.0","148.0","-26.0"
"175","","Paul Richardson","WAS","WR65","4","98","224","162.9","35.7","173.0","-2.0"
"176","","Greg Zuerlein","LAR","K2","12","100","214","170.7","20.8","130.0","-46.0"
"177","","Justin Tucker","BAL","K3","10","102","213","171.3","21.2","142.0","-35.0"
"178","","Mohamed Sanu","ATL","WR66","8","116","238","171.0","31.9","158.0","-20.0"
"179","","Austin Hooper","ATL","TE23","8","92","273","171.0","30.6","214.0","+35.0"
"180","","Ted Ginn","NO","WR67","6","111","244","172.1","34.1","190.0","+10.0"
"181","","New Orleans (NO)","","DST9","6","105","231","176.5","24.0","170.0","-11.0"
"182","","LeGarrette Blount","DET","RB55","6","75","273","177.8","38.9","159.0","-23.0"
"183","","Jameis Winston","TB ","QB26","5","115","238","176.0","28.0","164.0","-19.0"
"184","","Samaje Perine","WAS","RB56","4","73","362","183.5","65.4","216.0","+32.0"
"185","","Tyrod Taylor","CLE","QB27","11","99","290","183.2","39.9","210.0","+25.0"
"186","","Doug Martin","OAK","RB57","7","103","225","172.8","26.8","168.0","-18.0"
"187","","Matt Bryant","ATL","K4","8","106","221","180.3","24.8","179.0","-8.0"
"188","","Mike Wallace","PHI","WR68","9","64","256","178.9","43.8","230.0","+42.0"
"189","","Vance McDonald","PIT","TE24","7","103","258","185.2","34.0","213.0","+24.0"
"190","","Austin Ekeler","LAC","RB58","8","95","297","181.5","42.6","193.0","+3.0"
"191","","Frank Gore","MIA","RB59","11","124","228","177.2","24.8","220.0","+29.0"
"192","","Dez Bryant","FA","WR69","","91","279","175.5","47.7","163.0","-29.0"
"193","","Nyheim Hines","IND","RB60","9","112","240","172.3","30.5","191.0","-2.0"
"194","","Mike Gesicki","MIA","TE25","11","104","272","187.3","35.8","199.0","+5.0"
"195","","Ryan Tannehill","MIA","QB28","11","136","315","185.9","31.1","229.0","+34.0"
"196","","Christian Kirk","ARI","WR70","9","106","241","178.5","31.6","195.0","-1.0"
"197","","D'Onta Foreman","HOU","RB61","10","121","255","178.0","31.6","176.0","-21.0"
"198","","Wil Lutz","NO","K5","6","109","231","185.8","23.8","180.0","-18.0"
"199","","Javorius Allen","BAL","RB62","10","102","282","185.9","37.5","204.0","+5.0"
"200","","Quincy Enunwa","NYJ","WR71","11","125","239","184.6","30.7","249.0","+49.0"
"201","","Danny Amendola","MIA","WR72","11","99","243","185.2","30.9","186.0","-15.0"
"202","","Chicago (CHI)","","DST10","5","117","262","191.2","29.8","182.0","-20.0"
"203","","New England (NE)","","DST11","11","107","238","184.8","23.0","175.0","-28.0"
"204","","Donte Moncrief","JAC","WR73","9","80","251","187.9","34.6","237.0","+33.0"
